,0
0,2720.0947
1,2324.253
2,3303.7534
3,3677.8003
4,3284.2852
5,2671.0413
6,2260.7957
7,2199.5422
8,2391.895
9,2627.8762
10,2738.267
11,2677.411
12,2504.4146
13,2318.8486
14,2203.122
15,2189.6938
16,2256.0332
17,2345.1663
18,2400.4827
19,2394.6072
20,2336.9927
21,2261.0518
22,2202.7756
23,2183.0605
24,2200.6328
25,2236.6975
26,2267.1885
27,2275.467
28,2259.0854
29,2228.3784
30,2199.152
31,2184.0015
32,2186.5496
33,2200.9573
34,2216.3281
35,2223.1787
36,2218.2324
37,2205.1516
38,2191.418
39,2183.6738
40,2184.2788
41,2190.7295
42,2197.8157
43,2200.9214
44,2198.4724
45,2192.315
46,2186.1252
47,2183.0366
48,2183.9263
49,2187.253
50,2190.324
51,2191.075
52,2189.198
53,2186.0452
54,2183.5366
55,2182.895
56,2184.007
57,2185.7107
58,2186.688
59,2186.314
60,2184.9353
61,2183.4912
62,2182.8154
63,2183.1155
64,2183.9353
65,2184.563
66,2184.539
67,2183.9255
68,2183.1753
69,2182.7612
70,2182.8523
71,2183.2458
72,2183.5715
73,2183.5715
74,2183.2646
75,2182.8826
76,2182.6743
77,2182.7256
78,2182.9219
79,2183.0671
80,2183.0383
81,2182.86
82,2182.6658
83,2182.5781
84,2182.62
85,2182.7148
86,2182.761
87,2182.7114
88,2182.5999
89,2182.5032
90,2182.4731
91,2182.5007
92,2182.5354
93,2182.5288
94,2182.4744
95,2182.403
96,2182.3557
97,2182.3447
98,2182.3525
99,2182.3481
100,2182.3164
101,2182.2659
102,2182.2192
103,2182.191
104,2182.1775
105,2182.1626
106,2182.134
107,2182.092
108,2182.0469
109,2182.0095
110,2181.9814
111,2181.9536
112,2181.9194
113,2181.876
114,2181.8281
115,2181.7827
116,2181.7415
117,2181.7007
118,2181.6553
119,2181.6033
120,2181.5476
121,2181.4912
122,2181.4353
123,2181.379
124,2181.318
125,2181.252
126,2181.1816
127,2181.1084
128,2181.0337
129,2180.9558
130,2180.8735
131,2180.7852
132,2180.6921
133,2180.5942
134,2180.4917
135,2180.384
136,2180.27
137,2180.1484
138,2180.019
139,2179.8828
140,2179.7388
141,2179.5857
142,2179.4229
143,2179.2488
144,2179.0635
145,2178.8662
146,2178.6553
147,2178.43
148,2178.1882
149,2177.9287
150,2177.65
151,2177.3503
152,2177.0278
153,2176.6797
154,2176.3035
155,2175.8955
156,2175.4536
157,2174.9739
158,2174.4514
159,2173.881
160,2173.2583
161,2172.5764
162,2171.828
163,2171.0054
164,2170.0981
165,2169.097
166,2167.9883
167,2166.757
168,2165.3884
169,2163.861
170,2162.1538
171,2160.2397
172,2158.088
173,2155.6633
174,2152.9233
175,2149.8196
176,2146.2947
177,2142.281
178,2137.6997
179,2132.4585
180,2126.4473
181,2119.54
182,2111.5854
183,2102.4092
184,2091.8086
185,2079.5486
186,2065.3596
187,2048.9346
188,2029.9291
189,2007.9634
190,1982.6263
191,1953.4846
192,1920.1014
193,1882.0582
194,1838.9885
195,1790.6245
196,1736.8547
197,1677.7958
198,1613.8704
199,1545.8853
200,1475.0917
201,1403.2004
202,1332.3379
203,1264.9163
204,1203.4148
205,1150.0913
206,1106.6552
207,1073.9626
208,1051.7987
209,1038.8267
210,1032.7394
211,1030.6086
212,1029.4014
213,1026.5895
214,1020.7447
215,1011.9061
216,1001.4214
217,991.05524
218,981.7632
219,973.32184
220,965.21704
221,957.4248
222,950.21155
223,943.5094
224,936.84265
225,929.88654
226,922.7577
227,915.79596
228,909.2511
229,903.2066
230,897.68353
231,892.67145
232,888.06195
233,883.6538
234,879.2808
235,874.9028
236,870.55316
237,866.23706
238,861.9142
239,857.5675
240,853.2334
241,848.95105
242,844.71313
243,840.4891
244,836.2747
245,832.09204
246,827.94305
247,823.7907
248,819.58997
249,815.31146
250,810.9303
251,806.40375
252,801.68726
253,796.7567
254,791.60095
255,786.18726
256,780.4576
257,774.35516
258,767.8782
259,761.1331
260,754.4888
261,747.2765
262,737.83044
263,728.0454
264,719.73236
265,709.77734
266,698.446
267,688.1899
268,676.65405
269,663.8786
270,651.87823
271,638.844
272,624.98303
273,611.7026
274,597.6322
275,583.10236
276,569.17554
277,554.9152
278,540.51434
279,526.76685
280,513.0268
281,499.23758
282,486.1142
283,473.41248
284,460.77417
285,448.59558
286,437.0008
287,425.6996
288,414.67307
289,404.15173
290,394.1653
291,384.59622
292,375.3919
293,366.46512
294,357.94016
295,349.78207
296,342.05835
297,334.73135
298,327.88885
299,321.5918
300,316.44434
301,312.47687
302,309.507
303,302.1678
304,295.12305
305,292.8052
306,290.47427
307,284.8934
308,281.09158
309,280.0929
310,277.0203
311,273.0098
312,271.79843
313,270.42755
314,266.96747
315,265.44272
316,264.76947
317,262.21307
318,260.53232
319,260.00314
320,258.3363
321,256.64386
322,256.08792
323,255.02658
324,253.49655
325,252.82275
326,252.10876
327,250.88379
328,250.05438
329,249.52194
330,248.60126
331,247.69391
332,247.20175
333,246.51022
334,245.6514
335,245.09842
336,244.55638
