;novel;done;no samp;;;;comsol
0;0.004072109;-3.43E-05;-5.68E-05;;;0;-3.51E-82
120;0.00406901;-3.96E-05;-4.90E-05;;;10;9.57E-54
240;0.004061515;-5.74E-05;-5.01E-05;;;20;1.45E-47
360;0.004046613;-9.70E-05;-7.20E-05;;;30;1.25E-45
480;0.004019225;-0.000173644;-0.000137295;;;40;5.47E-44
600;0.003971601;-0.000303417;-0.000286873;;;50;1.61E-42
720;0.00389261;-0.000476179;-0.00058123;;;60;9.58E-42
840;0.003775561;-0.000524423;-0.001034255;;;70;3.35E-41
960;0.003667394;0.000440116;-0.001139636;;;80;1.12E-40
1080;0.00394916;0.006578634;0.002707099;;;90;3.74E-40
1200;0.00708946;0.03671141;0.028371606;;;100;1.25E-39
1320;0.031068483;0.1480535;0.13318224;;;110;4.19E-39
1440;0.20518622;0.3799953;0.37559134;;;120;1.44E-38
1560;0.71985483;0.6530656;0.6611802;;;130;4.95E-38
1680;0.9602588;0.86069983;0.8604666;;;140;1.70E-37
1800;1.0013329;0.96074855;0.95880926;;;150;5.84E-37
1920;1.0064495;0.99083924;0.99069333;;;160;2.00E-36
2040;1.0063436;0.99763453;0.9975357;;;170;6.82E-36
2160;1.0057523;0.99889237;0.9986894;;;180;2.32E-35
2280;1.0053067;0.9991229;0.998862;;;190;7.89E-35
2400;1.0050231;0.9992566;0.9989259;;;200;2.67E-34
2520;1.0048488;0.99940795;0.9990039;;;210;9.04E-34
2640;1.0047421;0.9995526;0.9990945;;;220;3.05E-33
2760;1.0046762;0.9996684;0.99918365;;;230;1.02E-32
2880;1.0046356;0.99974906;0.9992616;;;240;3.43E-32
3000;1.0046107;0.9997965;0.9993235;;;250;1.14E-31
3120;1.0045961;0.9998158;0.999367;;;260;3.81E-31
3240;1.0045891;0.999811;0.9993918;;;270;1.26E-30
3360;1.0045875;0.9997846;0.99939847;;;280;4.16E-30
3480;1.0045916;0.99973726;0.99938905;;;290;1.37E-29
3600;1.0046026;0.99966884;0.9993659;;;300;4.48E-29
3720;1.0046229;0.9995796;0.999333;;;310;1.46E-28
3840;1.0046573;0.9994739;0.9992964;;;320;4.73E-28
3960;1.0047151;0.9993663;0.999267;;;330;1.52E-27
4080;1.0048114;0.99929017;0.999262;;;340;4.89E-27
4200;1.0049736;0.9993095;0.99930894;;;350;1.56E-26
4320;1.0052445;0.9995142;0.99944866;;;360;4.94E-26
4440;1.0056769;0.9999394;0.99970484;;;370;1.55E-25
4560;1.0062349;1.0001347;0.99985516;;;380;4.86E-25
4680;1.0061346;0.9969878;0.9978646;;;390;1.51E-24
4800;0.99977165;0.9740792;0.97957873;;;400;4.65E-24
4920;0.9489531;0.86980397;0.8800285;;;410;1.42E-23
5040;0.6421129;0.6230572;0.6343346;;;420;4.32E-23
5160;0.16036853;0.3411079;0.3366079;;;430;1.30E-22
5280;0.024524102;0.13066058;0.13088515;;;440;3.87E-22
5400;0.006714175;0.033048436;0.040438343;;;450;1.14E-21
