,0
0,-0.0002070181
1,-0.00020673499
2,-0.00020666793
3,-0.00020681694
4,-0.00020718947
5,-0.00020787492
6,-0.00020911172
7,-0.00021059439
8,-0.0002126582
9,-0.0002152808
10,-0.0002185218
11,-0.00022241846
12,-0.00022691116
13,-0.0002319999
14,-0.00023772195
15,-0.00024335459
16,-0.00024827197
17,-0.00025105104
18,-0.0002485104
19,-0.00023544952
20,-0.00020166114
21,-0.00012799725
22,2.1431595e-05
23,0.00031568483
24,0.00088858977
25,0.0019998737
26,0.0041569956
27,0.008397881
28,0.018257622
29,0.093619496
30,0.75739807
31,0.9377315
32,0.9875752
33,1.0000565
34,1.0022149
35,1.0023012
36,1.0020123
37,1.0017138
38,1.001474
39,1.0012916
40,1.0011518
41,1.0010391
42,1.000942
43,1.0008507
44,1.0007577
45,1.0006564
46,1.0005398
47,1.0003994
48,1.0002247
49,1.0000017
50,0.9997099
