,0
0,0.013689417
1,0.013687853
2,0.013686003
3,0.013684116
4,0.013682125
5,0.013679657
6,0.013676995
7,0.013673974
8,0.013670551
9,0.013666404
10,0.013661953
11,0.013656605
12,0.013650646
13,0.013643479
14,0.013635371
15,0.013625821
16,0.01361496
17,0.013602322
18,0.013588248
19,0.013572993
20,0.013557747
21,0.013546281
22,0.01354705
23,0.01358236
24,0.013712088
25,0.014114501
26,0.015397323
27,0.020118738
28,0.04440557
29,0.2507666
30,0.8470883
31,0.9739424
32,1.0053307
33,1.0134141
34,1.0144924
35,1.0140827
36,1.0135167
37,1.0130517
38,1.0127072
39,1.0124575
40,1.0122758
41,1.0121425
42,1.0120424
43,1.0119661
44,1.0119064
45,1.0118579
46,1.011817
47,1.0117809
48,1.0117475
49,1.011714
50,1.0116783
