,0
0,-0.00012750446
1,-6.9753616e-05
2,-1.9393628e-06
3,7.412082e-05
4,0.000151415
5,0.00021099963
6,0.00020995608
7,6.518478e-05
8,-0.00031961442
9,-0.0006583248
10,0.002201056
11,0.026411941
12,0.19076373
13,0.7504716
14,0.9633476
15,0.9978087
16,1.0012854
17,1.0004569
18,0.9997565
19,0.9995166
20,0.9995239
21,0.99962
22,0.9997322
23,0.99983436
24,0.9999195
25,0.9999885
26,1.000043
27,1.0000848
28,1.0001146
29,1.0001324
30,1.0001366
31,1.0001247
32,1.0000921
33,1.0000345
34,0.999947
35,0.9998317
36,0.99970883
37,0.9996472
38,0.99980307
39,1.000233
40,0.99853367
41,0.97241807
42,0.7774596
43,0.23250711
44,0.032967728
45,0.0022647856
46,-0.0015569696
47,-0.001040181
48,-0.00023354997
49,0.00025209796
50,0.00045149087
