,0
0,-0.00370072
1,-0.0036894733
2,-0.0036785405
3,-0.00367033
4,-0.0036706084
5,-0.003690249
6,-0.0037496889
7,-0.0038756204
8,-0.0040510483
9,-0.0038275819
10,0.00034287875
11,0.035087187
12,0.2811164
13,0.8065919
14,0.9693603
15,0.99399203
16,0.9967272
17,0.99651253
18,0.99610025
19,0.9958134
20,0.9956376
21,0.9955321
22,0.99546844
23,0.99543005
24,0.9954069
25,0.9953939
26,0.9953879
27,0.9953876
28,0.9953927
29,0.9954036
30,0.9954213
31,0.9954485
32,0.99548906
33,0.9955484
34,0.99563557
35,0.9957621
36,0.9959393
37,0.99616104
38,0.99632794
39,0.99586767
40,0.99135035
41,0.9563605
42,0.7129649
43,0.18850785
44,0.020212173
45,-0.0036592584
46,-0.006338126
47,-0.0059365295
48,-0.005352784
49,-0.004997529
50,-0.0048440592
