time;c
2;0.00E+00
4;0.00E+00
6;0.00E+00
8;0.00E+00
10;0.00E+00
12;1.08E-37
14;3.15E-37
16;5.21E-37
18;7.28E-37
20;8.93E-23
22;1.93E-21
24;3.77E-21
26;5.62E-21
28;7.46E-21
30;9.30E-21
32;1.11E-20
34;1.30E-20
36;1.48E-20
38;6.57E-16
40;7.43E-15
42;1.42E-14
44;2.10E-14
46;2.78E-14
48;3.45E-14
50;4.13E-14
52;4.81E-14
54;5.49E-14
56;6.16E-14
58;6.84E-14
60;7.52E-14
62;8.19E-14
64;8.87E-14
66;9.55E-14
68;1.15E-13
70;2.56E-13
72;3.97E-13
74;5.38E-13
76;6.78E-13
78;8.19E-13
80;9.60E-13
82;1.10E-12
84;1.24E-12
86;1.38E-12
88;1.52E-12
90;1.66E-12
92;1.80E-12
94;1.95E-12
96;2.09E-12
98;2.36E-12
100;3.84E-12
102;5.32E-12
104;6.79E-12
106;8.27E-12
108;9.75E-12
110;1.12E-11
112;1.27E-11
114;1.42E-11
116;1.57E-11
118;1.72E-11
120;1.86E-11
122;2.01E-11
124;2.16E-11
126;2.31E-11
128;2.47E-11
130;2.73E-11
132;3.01E-11
134;3.31E-11
136;3.62E-11
138;3.94E-11
140;4.28E-11
142;4.64E-11
144;5.01E-11
146;5.39E-11
148;5.79E-11
150;6.20E-11
152;6.63E-11
154;7.07E-11
156;7.53E-11
158;8.02E-11
160;8.77E-11
162;9.57E-11
164;1.04E-10
166;1.13E-10
168;1.22E-10
170;1.32E-10
172;1.43E-10
174;1.53E-10
176;1.65E-10
178;1.76E-10
180;1.89E-10
182;2.01E-10
184;2.14E-10
186;2.28E-10
188;2.43E-10
190;2.64E-10
192;2.88E-10
194;3.12E-10
196;3.38E-10
198;3.65E-10
200;3.94E-10
202;4.24E-10
204;4.56E-10
206;4.88E-10
208;5.22E-10
210;5.58E-10
212;5.95E-10
214;6.33E-10
216;6.73E-10
218;7.15E-10
220;7.78E-10
222;8.44E-10
